"wand_identifier","session_id","activity_session_id","activity_id","seconds"
MW-23SF-4LY8-UJWX,"21","12",ALZ_P0809,79
MW-23SF-LNGP-S2RP,"22","12",ALZ_P3031,172
MW-23SF-2J41-AR89,"24","11",ALZ_Story_Activity,8
MW-23SF-4LY8-UJWX,"21","13",ALZ_Story_Activity,57
MW-23SF-2J41-AR89,"25","3",ALZ_Story_Activity,169
MW-23SF-4LY8-UJWX,"21","14",ALZ_P1213,15
MW-23SF-4LY8-UJWX,"21","15",ALZ_Story_Activity,138
MW-23SF-LNGP-S2RP,"22","13",ALZ_Story_Activity,17
MW-23SF-LNGP-S2RP,"22","14",ALZ_P3031,112
MW-23SF-4LYV-FZ6L,"25","8",ALZ_P3031,189
MW-23SF-4LY8-UJWX,"21","16",ALZ_P2021,71
MW-23SF-2J41-AR89,"25","4",ALZ_P0607,5
MW-23SF-2J41-AR89,"25","5",ALZ_Story_Activity,31
MW-23SF-LNGP-S2RP,"22","15",ALZ_Story_Activity,248
MW-23SF-2J41-AR89,"25","6",ALZ_P0809,4
MW-23SF-2J41-AR89,"25","7",ALZ_Story_Activity,46
MW-23SF-4LY8-UJWX,"21","17",ALZ_Story_Activity,173
MW-23SF-2J41-AR89,"25","8",ALZ_P1415,4
MW-23SF-2J41-AR89,"25","9",ALZ_Story_Activity,183
MW-23SF-4LYV-FZ6L,"25","9",ALZ_Story_Activity,89
MW-23SF-4LY8-UJWX,"21","18",ALZ_P3031,195
MW-23SF-2J41-AR89,"25","10",ALZ_P2627,3
MW-23SF-2J41-AR89,"25","11",ALZ_Story_Activity,5
MW-23SF-2J41-AR89,"25","12",ALZ_P2627,3
MW-23SF-2J41-AR89,"25","13",ALZ_Story_Activity,72
MW-23SF-4LYV-FZ6L,"25","11",ALZ_Story_Activity,30
MW-23SF-4LYV-FZ6L,"25","12",ALZ_P0000,50
MW-23SF-2J41-AR89,"25","14",ALZ_P3031,106
MW-23SF-4LYV-FZ6L,"25","13",ALZ_Story_Activity,162
MW-23SF-4LY8-UJWX,"21","19",ALZ_Story_Activity,50
MW-23SF-2J41-AR89,"25","15",ALZ_Story_Activity,13
MW-23SF-4LY8-UL95,"21","7",ALZ_Story_Activity,271
MW-23SF-4LYV-FZ6L,"27","3",ALZ_Story_Activity,32
MW-23SF-4LY8-UL95,"21","8",ALZ_P1819,27
MW-23SF-4LY8-UL95,"21","9",ALZ_Story_Activity,69
MW-23SF-4LY8-UL95,"21","11",ALZ_Story_Activity,148
MW-23SF-4LY6-A5N1,"19","5",ALZ_Story_Activity,3
MW-23SF-4LY8-UL95,"22","7",ALZ_Story_Activity,578
MW-23SF-4LY8-UL95,"22","8",ALZ_P3031,192
MW-23SF-4LY8-UL95,"22","9",ALZ_Story_Activity,82
MW-23SF-9N8L-T91N,"20","3",ALZ_Story_Activity,118
MW-23SF-XW5X-SNL1,"19","3",ALZ_Story_Activity,62
MW-23SF-8Q8M-A53K,"19","4",ALZ_P0203,104
MW-23SF-9N8L-T91N,"20","4",ALZ_P0203,38
MW-23SF-XW5X-SNL1,"19","4",ALZ_P0203,155
MW-23SF-9N8L-T91N,"20","5",ALZ_Story_Activity,36
MW-23SF-Z56Z-I3W1,"20","3",ALZ_Story_Activity,42
MW-23SF-Z56Z-I3W1,"20","4",ALZ_P0001,40
MW-23SF-8Q8M-A53K,"19","5",ALZ_Story_Activity,255
MW-23SF-9N8L-T91N,"20","7",ALZ_Story_Activity,62
MW-23SF-Z56Z-I3W1,"20","5",ALZ_Story_Activity,157
MW-23SF-XW5X-SNL1,"19","5",ALZ_Story_Activity,41
MW-23SF-9N8L-T91N,"20","8",ALZ_P2425,2
MW-23SF-9N8L-T91N,"20","9",ALZ_Story_Activity,307
MW-23SF-XW5X-SNL1,"19","6",ALZ_P0405,7
MW-23SF-XW5X-SNL1,"19","7",ALZ_Story_Activity,63
MW-23SF-8Q8M-A53K,"19","6",ALZ_P2021,17
MW-23SF-8Q8M-A53K,"19","7",ALZ_Story_Activity,174
MW-23SF-Z56Z-I3W1,"20","7",ALZ_Story_Activity,83
MW-23SF-Z56Z-I3W1,"20","8",ALZ_P1011,27
MW-23SF-Z56Z-I3W1,"20","9",ALZ_Story_Activity,346
MW-23SF-8Q8M-A53K,"19","8",ALZ_P3031,115
MW-23SF-8Q8M-A53K,"19","9",ALZ_Story_Activity,0
MW-23SF-Z56Z-I3W1,"20","10",ALZ_P3031,111
MW-23SF-Z56Z-I3W1,"20","11",ALZ_Story_Activity,49
MW-23SF-Z56Z-I3W1,"20","12",ALZ_P1617,13
MW-23SF-Z56Z-I3W1,"20","13",ALZ_Story_Activity,10
MW-23SF-LNGP-S2RP,"23","11",ALZ_Story_Activity,78
MW-23SF-LNGP-S2RP,"23","12",ALZ_P0001,64
MW-23SF-P7MY-TRXR,"19","5",ALZ_Story_Activity,27
MW-23SF-P7MY-TRXR,"19","6",ALZ_P0203,22
MW-23SF-P7MY-TRXR,"19","7",ALZ_Story_Activity,55
MW-23SF-P7MY-TRXR,"19","8",ALZ_P0203,89
MW-23SF-P7MW-A45Q,"20","3",ALZ_Story_Activity,65
MW-23SF-4LY8-UJWX,"26","3",ALZ_Story_Activity,94
MW-23SF-NJ9Z-AGY9,"21","3",ALZ_Story_Activity,58
MW-23SF-P7MW-A45Q,"20","4",ALZ_P0001,72
MW-23SF-P7MY-TRXR,"19","9",ALZ_Story_Activity,63
MW-23SF-NJ9Z-AGY9,"21","4",ALZ_P3031,17
MW-23SF-NJ9Z-AGY9,"21","5",ALZ_Story_Activity,360
MW-23SF-P7MW-A45Q,"20","5",ALZ_Story_Activity,40
MW-23SF-P7MW-A45Q,"20","6",ALZ_P0203,85
MW-23SF-P7MY-TRXR,"19","11",ALZ_Story_Activity,31
MW-23SF-LNGP-S2RP,"24","3",ALZ_Story_Activity,28
MW-23SF-P7MW-A45Q,"20","7",ALZ_Story_Activity,74
MW-23SF-5876-FWVN,"20","4",ALZ_P0607,2
MW-23SF-5876-FWVN,"20","5",ALZ_Story_Activity,41
MW-23SF-5876-FWVN,"20","6",ALZ_P0809,2
MW-23SF-5876-FWVN,"20","7",ALZ_Story_Activity,17
MW-23SF-P7MW-A45Q,"20","8",ALZ_P3031,1
MW-23SF-P7MW-A45Q,"20","9",ALZ_Story_Activity,0
MW-23SF-NJ9Z-AGY9,"22","3",ALZ_Story_Activity,140
MW-23SF-NJ9Z-AGY9,"22","4",ALZ_P3031,179
MW-23SF-9N8Y-SGZN,"21","3",ALZ_Story_Activity,39
MW-23SF-9N8Y-SGZN,"21","4",ALZ_P0001,90
MW-23SF-LNGP-S2RP,"25","3",ALZ_Story_Activity,4
MW-23SF-LNGP-S2RP,"26","3",ALZ_Story_Activity,46
MW-23SF-NJ9R-U6K6,"18","4",ALZ_P3031,2
MW-23SF-NJ9R-U6K6,"18","5",ALZ_Story_Activity,0
MW-23SF-LNGP-S2RP,"26","4",ALZ_P0001,103
MW-23SF-NJ9R-U6K6,"19","3",ALZ_Story_Activity,26
MW-23SF-NJ9R-U6K6,"19","4",ALZ_P0001,95
MW-23SF-9N8Y-SGZN,"21","6",ALZ_P0405,107
MW-23SF-LNGP-S2RP,"26","5",ALZ_Story_Activity,34
MW-23SF-LNGP-S2RP,"26","6",ALZ_P0203,39
MW-23SF-NJ9R-U6K6,"19","5",ALZ_Story_Activity,0
MW-23SF-LNGP-S2RP,"26","7",ALZ_Story_Activity,90
MW-23SF-LNGP-S2RP,"26","8",ALZ_P0607,86
MW-23SF-9N8Y-SGZN,"21","8",ALZ_P3031,13
MW-23SF-LNGP-S2RP,"26","9",ALZ_Story_Activity,135
MW-23SF-LNGP-S2RP,"28","3",ALZ_Story_Activity,106
MW-23SF-LNGP-S2RP,"28","4",ALZ_P1617,12
MW-23SF-LNGP-S2RP,"28","5",ALZ_Story_Activity,1
MW-23SF-LNGW-AKQL,"30","3",ALZ_Story_Activity,38
MW-23SF-LNGW-AKQL,"30","4",ALZ_P0001,48
MW-23SF-LNGW-AKQL,"30","5",ALZ_Story_Activity,26
MW-23SF-LNGP-S2RP,"30","3",ALZ_Story_Activity,21
MW-23SF-GGV9-A4PG,"19","3",ALZ_Story_Activity,27
MW-23SF-GGV9-A4PG,"19","4",ALZ_P0001,76
MW-23SF-GGV9-A4PG,"19","5",ALZ_Story_Activity,36
MW-23SF-P7MW-AV4M,"19","3",ALZ_Story_Activity,19
MW-23SF-GGV9-A4PG,"19","7",ALZ_Story_Activity,1
MW-23SF-GGV9-A4PG,"21","3",ALZ_Story_Activity,8
MW-23SF-GGV9-A4PG,"21","4",ALZ_P0000,12
MW-23SF-2J41-AR89,"29","3",ALZ_Story_Activity,74
MW-23SF-P7MW-AV4M,"20","3",ALZ_Story_Activity,41
MW-23SF-P7MW-AV4M,"20","4",ALZ_P0001,114
MW-23SF-2J41-AR89,"29","4",ALZ_P0001,11
MW-23SF-2J41-AR89,"29","5",ALZ_Story_Activity,15
MW-23SF-P7MW-AV4M,"20","5",ALZ_Story_Activity,446
MW-23SF-2J41-AR89,"30","3",ALZ_Story_Activity,23
MW-23SF-2J41-AR89,"30","4",ALZ_P0001,38
MW-23SF-R7PY-SRNL,"17","3",ALZ_Story_Activity,41
MW-23SF-R7PY-SRNL,"17","4",ALZ_P0001,15
MW-23SF-P7MW-AV4M,"20","6",ALZ_P3031,144
MW-23SF-R7PY-SRNL,"17","5",ALZ_Story_Activity,150
MW-23SF-P7MW-AV4M,"20","7",ALZ_Story_Activity,12
MW-23SF-R7PY-SRNL,"17","6",ALZ_P0809,68
MW-23SF-R7PY-SRNL,"17","7",ALZ_Story_Activity,186
MW-23SF-R7PY-SRNL,"17","9",ALZ_Story_Activity,272
MW-23SF-LNGP-S195,"19","11",ALZ_Story_Activity,131
MW-23SF-LNGP-S195,"19","12",ALZ_P3031,52
MW-23SF-R7PY-SRNL,"17","10",ALZ_P3031,29
MW-23SF-LNGP-S195,"19","13",ALZ_Story_Activity,126
MW-23SF-LNGP-S195,"19","17",ALZ_Story_Activity,99
MW-23SF-LNGP-S195,"19","18",ALZ_P0203,165
MW-23SF-R7PY-SRPR,"19","11",ALZ_Story_Activity,34
MW-23SF-R7PY-SRPR,"19","12",ALZ_P0001,4
MW-23SF-R7PY-SRPR,"19","13",ALZ_Story_Activity,267
MW-23SF-LNGP-S195,"19","19",ALZ_Story_Activity,130
MW-23SF-587W-A736,"18","3",ALZ_Story_Activity,45
MW-23SF-LNGP-S195,"19","21",ALZ_Story_Activity,211
MW-23SF-587W-A736,"18","4",ALZ_P0001,183
MW-23SF-K6V8-I87N,"18","3",ALZ_Story_Activity,752
MW-23SF-R7PY-SRPR,"19","14",ALZ_P2627,68
MW-23SF-R7PY-SRPR,"19","15",ALZ_Story_Activity,256
MW-23SF-587W-A736,"18","5",ALZ_Story_Activity,452
MW-23SF-LNGP-S195,"19","22",ALZ_P2627,15
MW-23SF-LNGP-S195,"19","23",ALZ_Story_Activity,62
MW-23SF-LNGP-S195,"19","24",ALZ_P2223,64
MW-23SF-LNGP-S195,"19","25",ALZ_Story_Activity,58
MW-23SF-R7PY-SRPR,"19","16",ALZ_P3031,40
MW-23SF-LNGP-S195,"19","26",ALZ_P3031,3
MW-23SF-LNGP-S195,"19","27",ALZ_Story_Activity,0
MW-23SF-R7PY-SRPR,"19","17",ALZ_Story_Activity,24
MW-23SF-GGV9-A45V,"20","3",ALZ_Story_Activity,39
MW-23SF-R7PY-SRPR,"19","19",ALZ_Story_Activity,69
MW-23SF-GGV9-A45V,"20","4",ALZ_P0001,64
MW-23SF-R7PY-SRPR,"19","20",ALZ_P0203,55
MW-23SF-GGV9-A45V,"20","5",ALZ_Story_Activity,59
MW-23SF-R7PY-SRPR,"19","21",ALZ_Story_Activity,12
MW-23SF-GGV9-A45V,"20","6",ALZ_P0203,73
MW-23SF-R7PY-SRPR,"19","23",ALZ_Story_Activity,398
MW-23SF-587W-A736,"18","6",ALZ_P3031,53
MW-23SF-GGV9-A45V,"20","7",ALZ_Story_Activity,36
MW-23SF-587W-A736,"18","7",ALZ_Story_Activity,0
MW-23SF-GGV9-A45V,"20","8",ALZ_P0405,71
MW-23SF-GGV9-A45V,"20","9",ALZ_Story_Activity,36
MW-23SF-K6V8-I87N,"18","4",ALZ_P3031,165
MW-23SF-GGV9-A45V,"20","10",ALZ_P0607,53
MW-23SF-GGV9-A45V,"20","11",ALZ_Story_Activity,66
MW-23SF-GGV9-A45V,"20","12",ALZ_P1011,11
MW-23SF-GGV9-A45V,"20","13",ALZ_Story_Activity,224
MW-23SF-K6V8-I87N,"18","5",ALZ_Story_Activity,77
MW-23SF-K6V8-I87N,"18","6",ALZ_P1617,115
MW-23SF-GGV9-AG3W,"24","3",ALZ_Story_Activity,24
MW-23SF-GGV9-A45V,"20","14",ALZ_P3031,6
MW-23SF-GGV9-A45V,"20","15",ALZ_Story_Activity,118
MW-23SF-GGVJ-CJ2V,"28","4",ALZ_P0001,88
MW-23SF-GGV9-A45V,"20","16",ALZ_P2627,5
MW-23SF-GGV9-A45V,"20","17",ALZ_Story_Activity,54
MW-23SF-GGVJ-CJ2V,"28","5",ALZ_Story_Activity,101
MW-23SF-GGV9-A45V,"20","18",ALZ_P3031,139
MW-23SF-GGVJ-CJ2V,"28","6",ALZ_P0607,84
MW-23SF-K6V8-IR72,"21","3",ALZ_Story_Activity,52
MW-23SF-GGV9-A45V,"20","19",ALZ_Story_Activity,38
MW-23SF-K6V8-IR72,"21","4",ALZ_P0001,47
MW-23SF-GGVJ-CJ2V,"28","7",ALZ_Story_Activity,387
MW-23SF-GGV9-A45V,"20","20",ALZ_P0809,3
MW-23SF-GGV9-A45V,"20","21",ALZ_Story_Activity,6
MW-23SF-9N8Y-SGZN,"23","7",ALZ_Story_Activity,257
MW-23SF-K6V8-IR72,"21","5",ALZ_Story_Activity,109
MW-23SF-8Q89-CZRX,"42","3",ALZ_Story_Activity,19
MW-23SF-8Q89-CZRX,"42","4",ALZ_P0001,112
MW-23SF-K6V8-IR72,"21","6",ALZ_P0607,70
MW-23SF-8Q89-CZRX,"42","5",ALZ_Story_Activity,43
MW-23SF-8Q89-CZRX,"42","6",ALZ_P0607,89
MW-23SF-K6V8-IR72,"21","7",ALZ_Story_Activity,0
MW-23SF-8Q89-CZRX,"42","7",ALZ_Story_Activity,72
MW-23SF-8Q89-CZRX,"42","8",ALZ_P2627,40
MW-23SF-GGVJ-CJ2V,"28","8",ALZ_P3031,2
MW-23SF-GGVJ-CJ2V,"28","9",ALZ_Story_Activity,46
MW-23SF-8Q89-CZRX,"42","9",ALZ_Story_Activity,17
MW-23SF-8Q89-CZRX,"42","10",ALZ_P0809,7
MW-23SF-8Q89-CZRX,"42","11",ALZ_Story_Activity,30
MW-23SF-8Q89-CZRX,"42","12",ALZ_P3031,5
MW-23SF-8Q89-CZRX,"42","13",ALZ_Story_Activity,11
MW-23SF-8Q89-CZRX,"42","14",ALZ_P1213,13
MW-23SF-8Q89-CZRX,"42","15",ALZ_Story_Activity,3
MW-23SF-M9J9-CKY4,"20","3",ALZ_Story_Activity,39
MW-23SF-M9J9-CKY4,"20","4",ALZ_P0001,77
MW-23SF-M9J9-CKY4,"20","5",ALZ_Story_Activity,40
MW-23SF-M9J9-CKY4,"20","6",ALZ_P2425,4
MW-23SF-M9J9-CKY4,"20","7",ALZ_Story_Activity,85
MW-23SF-LNGP-S2QG,"22","5",ALZ_Story_Activity,35
MW-23SF-LNGP-S2QG,"22","6",ALZ_P0000,53
MW-23SF-LNGP-S2QG,"22","7",ALZ_Story_Activity,28
MW-23SF-8Q89-CZRX,"44","3",ALZ_Story_Activity,111
MW-23SF-8Q89-CZRX,"44","4",ALZ_P0607,10
MW-23SF-8Q89-CZRX,"44","5",ALZ_Story_Activity,52
MW-23SF-LNGP-S2RP,"33","3",ALZ_Story_Activity,76
MW-23SF-NJ9Z-AGY9,"26","3",ALZ_Story_Activity,36
MW-23SF-NJ9Z-AGY9,"26","4",ALZ_P3031,139
MW-23SF-LNGP-S2RP,"34","3",ALZ_Story_Activity,50
MW-23SF-LNGP-S2RP,"34","4",ALZ_P0001,131
MW-23SF-NJ9Z-AGY9,"26","5",ALZ_Story_Activity,15
MW-23SF-LNGP-S2RP,"34","5",ALZ_Story_Activity,73
MW-23SF-LNGP-S2RP,"34","6",ALZ_P0203,133
MW-23SF-1GY6-A46L,"22","3",ALZ_Story_Activity,202
MW-23SF-LNGP-S2RP,"34","7",ALZ_Story_Activity,202
MW-23SF-1GY6-A46L,"22","4",ALZ_P2425,100
MW-23SF-LNGP-S2RP,"34","8",ALZ_P0405,57
MW-23SF-LNGP-S2RP,"34","9",ALZ_Story_Activity,111
MW-23SF-GGVJ-CJ2V,"35","11",ALZ_Story_Activity,15
MW-23SF-WY3V-S43P,"21","3",ALZ_Story_Activity,43
MW-23SF-WY3V-S43P,"21","4",ALZ_P0607,58
MW-23SF-WY3V-S43P,"21","5",ALZ_Story_Activity,36
MW-23SF-WY3V-S43P,"21","6",ALZ_P0809,42
MW-23SF-WY3V-S43P,"21","7",ALZ_Story_Activity,31
MW-23SF-WY3V-S43P,"21","8",ALZ_P1011,93
MW-23SF-WY3V-S43P,"21","9",ALZ_Story_Activity,28
MW-23SF-WY3V-S43P,"21","10",ALZ_P1213,67
MW-23SF-WY3V-S43P,"21","11",ALZ_Story_Activity,57
MW-23SF-WY3V-S43P,"21","12",ALZ_P1415,67
MW-23SF-WY3V-S43P,"21","13",ALZ_Story_Activity,59
MW-23SF-WY3V-S43P,"21","14",ALZ_P1617,59
MW-23SF-WY3V-S43P,"21","15",ALZ_Story_Activity,29
MW-23SF-WY3V-S43P,"21","16",ALZ_P1819,101
MW-23SF-WY3V-S43P,"21","17",ALZ_Story_Activity,34
MW-23SF-WY3V-S43P,"21","18",ALZ_P2021,143
MW-23SF-WY3V-S43P,"21","19",ALZ_Story_Activity,35
MW-23SF-WY3V-S43P,"21","20",ALZ_P2223,70
MW-23SF-WY3V-S43P,"21","21",ALZ_Story_Activity,43
MW-23SF-8Q89-CZRX,"51","3",ALZ_Story_Activity,15
MW-23SF-WY3V-S43P,"21","22",ALZ_P2425,57
MW-23SF-8Q89-CZRX,"51","4",ALZ_P0001,5
MW-23SF-8Q89-CZRX,"51","5",ALZ_Story_Activity,141
MW-23SF-WY3V-S43P,"21","23",ALZ_Story_Activity,37
MW-23SF-WY3V-S43P,"21","24",ALZ_P2627,137
MW-23SF-WY3V-S43P,"21","25",ALZ_Story_Activity,21
MW-23SF-WY3V-S43P,"21","26",ALZ_P3031,165
MW-23SF-P7M8-SGK4,"21","3",ALZ_Story_Activity,33
MW-23SF-P7M8-SGK4,"21","4",ALZ_P0001,32
MW-23SF-P7M8-SGK4,"21","5",ALZ_Story_Activity,2
MW-23SF-WY3V-S43P,"21","27",ALZ_Story_Activity,15
MW-23SF-LNGP-S2QG,"23","3",ALZ_Story_Activity,37
MW-23SF-LNGP-S2QG,"23","4",ALZ_P0001,67
MW-23SF-LNGP-S2QG,"23","5",ALZ_Story_Activity,10
MW-23SF-8Q89-CZRX,"53","3",ALZ_Story_Activity,129
MW-23SF-8Q89-CZRX,"53","4",ALZ_P2627,28
MW-23SF-8Q89-CZRX,"53","5",ALZ_Story_Activity,111
MW-23SF-8Q89-CZRX,"53","6",ALZ_P1819,5
MW-23SF-8Q89-CZRX,"53","7",ALZ_Story_Activity,2
MW-23SF-LNGW-AKQL,"48","3",ALZ_Story_Activity,47
MW-23SF-LNGW-AKQL,"48","4",ALZ_P0001,5
MW-23SF-LNGW-AKQL,"48","5",ALZ_Story_Activity,289
MW-23SF-QMNZ-SV8Q,"20","4",ALZ_P1819,150
MW-23SF-QMNZ-SV8Q,"20","5",ALZ_Story_Activity,13
MW-23SF-M9J9-CKY4,"21","3",ALZ_Story_Activity,45
MW-23SF-M9J9-CKY4,"21","4",ALZ_P0001,95
MW-23SF-M9J9-CKY4,"21","5",ALZ_Story_Activity,91
MW-23SF-M9J9-CKY4,"21","6",ALZ_P0405,85
MW-23SF-M9J9-CKY4,"21","7",ALZ_Story_Activity,57
MW-23SF-M9J9-CKY4,"21","8",ALZ_P2425,3
MW-23SF-M9J9-CKY4,"21","9",ALZ_Story_Activity,55
MW-23SF-M9J9-CKY4,"21","11",ALZ_Story_Activity,98
MW-23SF-M9J9-CKY4,"21","12",ALZ_P0001,3
MW-23SF-M9J9-CKY4,"21","13",ALZ_Story_Activity,168
MW-23SF-M9J9-CKY4,"21","14",ALZ_P2021,62
MW-23SF-M9J9-CKY4,"21","15",ALZ_Story_Activity,203
MW-23SF-M9J9-CKY4,"21","16",ALZ_P3031,367
MW-23SF-M9J9-CKY4,"21","17",ALZ_Story_Activity,91
MW-23SF-Y31Z-H2RK,"21","3",ALZ_Story_Activity,59
MW-23SF-M9J9-CKY4,"21","18",ALZ_P3031,45
MW-23SF-Y31Z-H2RK,"21","4",ALZ_P0001,16
MW-23SF-Y31Z-H2RK,"21","5",ALZ_Story_Activity,79
MW-23SF-M9J9-CKY4,"21","19",ALZ_Story_Activity,1
MW-23SF-Y31Z-H2RK,"21","7",ALZ_Story_Activity,68
MW-23SF-Y31Z-H2RK,"24","3",ALZ_Story_Activity,75
MW-23SF-Y31Z-H2RK,"24","4",ALZ_P0809,48
MW-23SF-Y31Z-H2RK,"24","6",ALZ_P3031,29
MW-23SF-2J41-AR89,"34","3",ALZ_Story_Activity,18
MW-23SF-2J41-AR89,"34","5",ALZ_Story_Activity,32
MW-23SF-2J41-AR89,"34","6",ALZ_P0000,72
MW-23SF-WY3V-SYY4,"34","3",ALZ_Story_Activity,26
MW-23SF-WY3V-SYY4,"34","4",ALZ_P3031,6
MW-23SF-WY3V-SYY4,"34","5",ALZ_Story_Activity,25
MW-23SF-WY3V-SYY4,"34","6",ALZ_P3031,5
MW-23SF-WY3V-SYY4,"34","7",ALZ_Story_Activity,531
MW-23SF-2J41-AR89,"36","3",ALZ_Story_Activity,21
MW-23SF-2J41-AR89,"37","3",ALZ_Story_Activity,33
MW-23SF-2J41-AR89,"37","4",ALZ_P3031,244
MW-23SF-2J41-AR89,"37","5",ALZ_Story_Activity,1
MW-23SF-WY3V-SYY4,"34","8",ALZ_P3031,32
MW-23SF-WY3V-SYY4,"34","9",ALZ_Story_Activity,0
MW-23SF-9N8Y-SGZN,"26","3",ALZ_Story_Activity,8
MW-23SF-LNGP-S2RP,"36","3",ALZ_Story_Activity,51
MW-23SF-LNGP-S2RP,"36","4",ALZ_P0001,51
MW-23SF-LNGP-S2RP,"36","5",ALZ_Story_Activity,95
MW-23SF-QMNZ-SV8Q,"22","25",ALZ_Story_Activity,119
MW-23SF-QMNZ-SV8Q,"22","26",ALZ_P3031,3
MW-23SF-QMNZ-SV8Q,"22","27",ALZ_Story_Activity,7
MW-23SF-QMNZ-SV8Q,"22","28",ALZ_P1819,5
MW-23SF-QMNZ-SV8Q,"22","29",ALZ_Story_Activity,65
MW-23SF-QMNZ-SV8Q,"22","30",ALZ_P3031,27
MW-23SF-QMNZ-SV8Q,"22","31",ALZ_Story_Activity,29
MW-23SF-QMNZ-SV8Q,"22","32",ALZ_P2425,2
MW-23SF-QMNZ-SV8Q,"22","33",ALZ_Story_Activity,37
MW-23SF-QMNZ-SV8Q,"22","34",ALZ_P2021,2
MW-23SF-QMNZ-SV8Q,"22","35",ALZ_Story_Activity,32
MW-23SF-QMNZ-SV8Q,"22","36",ALZ_P0000,2
MW-23SF-QMNZ-SV8Q,"22","37",ALZ_Story_Activity,31
MW-23SF-QMNZ-SV8Q,"22","38",ALZ_P3031,149
MW-23SF-QMNZ-SV8Q,"22","39",ALZ_Story_Activity,58
MW-23SF-QMNZ-SV8Q,"22","40",ALZ_P0203,5
MW-23SF-QMNZ-SV8Q,"22","41",ALZ_Story_Activity,15
