activity_id,action,action_data,Wand Count,Event Count,Events/Wand
ALZ_Story_Activity,activity_question,"{""q"":""spreadSelection_intro"",""vg"":""""}",305,9298,30.485
ALZ_Story_Activity,activity_question_set,"{""qs"":""set_spreadSelection""}",305,9298,30.485
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_ui_led_spreaddetection_beamidle""}",304,19739,64.931
ALZ_P0000,activity_iap,"{""ts"":""timers_pointableModeIAPs"",""ti"":1}",8,13,
ALZ_P0000,activity_iap,"{""ts"":""timers_pointableModeIAPs"",""ti"":2}",1,1,
ALZ_Story_Activity,activity_iap,"{""ts"":""timers_interruptibleIntro_IAPs"",""ti"":0}",304,9158,30.125
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_BlankSequence""}",304,9085,29.885
ALZ_Story_Activity,activity_question,"{""q"":""spreadSelection_selection"",""vg"":""""}",304,8732,28.724
ALZ_Story_Activity,activity_inference_start,"{""m"":""alz_spreads""}",304,8730,28.717
ALZ_Story_Activity,activity_input,"{""i"":""input_spreadSelection""}",304,8726,28.704
ALZ_Story_Activity,activity_iap,"{""ts"":""timers_interruptibleIntro_IAPs"",""ti"":1}",304,8036,26.434
ALZ_P0000,activity_inference,"{""l"":""alz_p0000_obj_rocket""}",10,15,1.50
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_SuperKillSwitch""}",303,18615,61.436
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_ui_sfx_storyselected""}",302,7896,26.146
ALZ_Story_Activity,activity_question,"{""q"":""storyReadAndChoice"",""vg"":""""}",300,7222,24.073
ALZ_Story_Activity,activity_iap,"{""ts"":""timers_storyAndChoose_IAPs"",""ti"":0}",300,7190,23.967
ALZ_Story_Activity,activity_iap,"{""ts"":""timers_storyAndChoose_IAPs"",""ti"":1}",299,6269,20.967
ALZ_Story_Activity,activity_answer,"{""a"":""input_auto""}",295,12048,40.841
ALZ_Story_Activity,activity_input,"{""i"":""input_auto""}",295,12044,40.827
ALZ_Story_Activity,activity_question_set,"{""qs"":""set_cycleMenu""}",295,6584,22.319
ALZ_Story_Activity,activity_question,"{""q"":""Switcher"",""vg"":""""}",295,6583,22.315
ALZ_Story_Activity,activity_back_button,,294,8167,27.779
ALZ_Story_Activity,activity_answer,"{""a"":""input_large""}",292,3375,11.558
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_ui_sfx_pageenter""}",290,2479,8.548
BookSelection,activity_sequence,"{""s"":""seq_UI_BookDetection_Intro_Part1""}",570,8833,15.496
ALZ_P0000,activity_sequence,"{""s"":""seq_p0000_iap1""}",7,9,
ALZ_P0000,activity_sequence,"{""s"":""seq_p0000_iap2""}",1,1,
ALZ_P0000,activity_sequence,"{""s"":""seq_p0000_intro1""}",4,4,
BookSelection,activity_sequence,"{""s"":""seq_UI_BookDetection_Intro_Part2""}",569,8015,14.086
BookSelection,activity_sequence,"{""s"":""seq_UI_BookDetection_IAP1""}",563,22953,40.769
BookSelection,activity_sequence,"{""s"":""seq_BlankSequence""}",562,7539,13.415
BookSelection,activity_sequence,"{""s"":""seq_UI_BookSelectionSfx""}",539,6365,11.809
BookSelection,activity_sequence,"{""s"":""seq_Volume_Enter""}",468,7148,15.274
ALZ_P0000,activity_sequence,"{""s"":""seq_p0000_obj_spaceship""}",9,12,
BookSelection,activity_sequence,"{""s"":""seq_UI_BookDetection_IAP2""}",448,4142,9.246
BookSelection,activity_sequence,"{""s"":""seq_Volume_4""}",446,2405,5.392
ALZ_P0000,activity_sequence,"{""s"":""seq_ui_hint2""}",3,3,
ALZ_P0000,activity_sequence,"{""s"":""seq_ui_hint3""}",1,1,
BookSelection,activity_sequence,"{""s"":""seq_Volume_Set""}",415,3423,8.248
BookSelection,activity_sequence,"{""s"":""seq_Global_NoBookContent""}",414,2836,6.850
BookSelection,activity_sequence,"{""s"":""seq_Volume_Prompt""}",389,2221,5.710
BookSelection,activity_sequence,"{""s"":""seq_UI_BookDetected_EAT""}",377,2562,6.796
BookSelection,activity_sequence,"{""s"":""seq_UI_BookDetected_ALZ""}",362,1835,5.069
BookSelection,activity_sequence,"{""s"":""seq_UI_BookDetection_IAP3""}",358,2199,6.142
ALZ_P0000,activity_sequence,"{""s"":""seq_ui_lifeline1""}",1,1,
BookSelection,activity_sequence,"{""s"":""seq_Volume_5""}",353,2871,8.133
ALZ_P0000,activity_sequence,"{""s"":""seq_ui_lifeline3""}",2,2,
BookSelection,activity_sequence,"{""s"":""seq_SmallButtonInterrupt""}",344,1389,4.038
BookSelection,activity_sequence,"{""s"":""seq_UI_CycleSfx2""}",343,5190,15.131
BookSelection,activity_sequence,"{""s"":""seq_SuperKillSwitch""}",338,1137,3.364
GSG_P1011,activity_sequence,"{""s"":""seq_P1011_PnT_Story_Response""}",332,1110,3.343
BookSelection,activity_sequence,"{""s"":""seq_Volume_SB""}",331,2096,6.332
ALZ_P0000,activity_sequence,"{""s"":""seq_ui_sfx_spread_iap""}",8,14,
ALZ_P0000,wand_activity_end,"{""act"":""ALZ_P0000"", ""ver"": 48, ""dev"": false}",42,68,
ALZ_P0000,wand_activity_start,"{""act"":""ALZ_P0000"", ""ver"": 48, ""dev"": false}",43,70,
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_ui_spreadselection_nudge1""}",289,1008,3.488
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_ui_sfx_sb_spread""}",288,5734,19.910
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_ui_sfx_pageexit_short""}",288,5721,19.865
ALZ_Story_Activity,activity_question,"{""q"":""sb_pageMode"",""vg"":""""}",288,5516,19.153
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_ui_pagescanned_nudge2a""}",286,894,3.126
ALZ_P0001,activity_iap,"{""ts"":""timers_activityIAPs"",""ti"":1}",3,3,
ALZ_P0001,activity_iap,"{""ts"":""timers_activityIAPs"",""ti"":2}",2,2,
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_ui_spreadselection_nudge3""}",282,5400,19.149
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_ui_makeachoice_nudge3""}",280,4659,16.639
ALZ_P0001,activity_iap,"{""ts"":""timers_pointableModeIAPs"",""ti"":2}",7,9,
ALZ_P0001,activity_iap,"{""ts"":""timers_pointableModeIAPs"",""ti"":3}",4,4,
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_ui_pagescanned_nudge1a""}",279,1097,3.932
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_ui_pagescanned_nudge3a""}",279,737,2.642
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_ui_bookselected_prompt""}",278,1197,4.306
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_ui_pagescanned_nudge4a""}",277,5417,19.556
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_ui_makeachoice_nudge1""}",277,900,3.249
ALZ_Story_Activity,activity_inference,"{""l"":""alz_p0001_one""}",274,993,3.624
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_story_p0001""}",273,867,3.176
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_ui_makeachoice_nudge2""}",273,713,2.612
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_ui_spreadselection_nudge2""}",272,781,2.871
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_ui_led_pointable_gentlepulseidle""}",268,1585,5.914
ALZ_Story_Activity,activity_iap,"{""ts"":""timers_storyAndChoose_IAPs"",""ti"":2}",266,1416,5.323
ALZ_Story_Activity,activity_inference,"{""l"":""alz_p0203_one""}",262,806,3.076
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_story_p0203""}",260,690,2.654
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_ui_sfx_sb_menuenter""}",258,1073,4.159
ALZ_Story_Activity,activity_iap,"{""ts"":""timers_cycleMenu_IAPs"",""ti"":0}",257,2101,8.175
ALZ_Story_Activity,activity_question,"{""q"":""MenuItem1"",""vg"":""""}",257,1541,5.996
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_sb_menu_diffbook_prompt""}",257,1395,5.428
ALZ_Story_Activity,activity_inference,"{""l"":""alz_p0405_one""}",256,601,2.348
ALZ_Story_Activity,activity_inference,"{""l"":""alz_p0607_one""}",254,657,2.587
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_story_p0607""}",249,534,2.145
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_story_p0405""}",248,503,2.028
ALZ_Story_Activity,activity_inference,"{""l"":""alz_p3031_one""}",245,943,3.849
ALZ_Story_Activity,activity_inference,"{""l"":""alz_p1011_one""}",238,696,2.924
ALZ_Story_Activity,activity_inference,"{""l"":""alz_p0809_one""}",238,558,2.345
ALZ_Story_Activity,activity_question,"{""q"":""finalSpread"",""vg"":""""}",231,673,2.913
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_story_p3031""}",231,668,2.892
ALZ_Story_Activity,activity_iap,"{""ts"":""timers_finalSpread_IAPs"",""ti"":0}",231,668,2.892
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_story_p1011""}",230,537,2.335
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_story_p0809""}",230,450,1.957
ALZ_Story_Activity,activity_inference,"{""l"":""alz_p2627_one""}",224,507,2.263
ALZ_P3031,activity_question,"{""q"":""q01"",""vg"":""""}",222,1148,5.171
ALZ_P0001,activity_input,"{""i"":""input_word_flyguy""}",10,11,
ALZ_P3031,activity_sequence,"{""s"":""seq_ui_letsplay""}",222,581,2.617
ALZ_P3031,activity_question_set,"{""qs"":""set_intro""}",222,581,2.617
ALZ_Story_Activity,activity_iap,"{""ts"":""timers_spreadSelection_IAPs"",""ti"":0}",221,1207,5.462
ALZ_P3031,activity_sequence,"{""s"":""seq_BlankSequence""}",219,3129,14.288
ALZ_Story_Activity,activity_inference,"{""l"":""alz_p2425_one""}",219,643,2.936
ALZ_Story_Activity,activity_inference,"{""l"":""alz_p1415_one""}",219,477,2.178
ALZ_P3031,activity_answer,"{""a"":""input_auto""}",218,1269,5.821
ALZ_P3031,activity_input,"{""i"":""input_auto""}",218,1269,5.821
ALZ_Story_Activity,activity_iap,"{""ts"":""timers_finalSpread_IAPs"",""ti"":1}",216,524,2.426
ALZ_P3031,activity_sequence,"{""s"":""seq_ui_sfx_smallbutton""}",215,589,2.740
ALZ_P3031,activity_sequence,"{""s"":""seq_SuperKillSwitch""}",215,585,2.721
ALZ_Story_Activity,activity_inference,"{""l"":""alz_p1819_one""}",215,572,2.660
ALZ_P3031,activity_question_set,"{""qs"":""set_pointableExit""}",215,567,2.637
ALZ_P3031,activity_sequence,"{""s"":""seq_ui_sfx_pageexit""}",214,562,2.626
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_ui_finalspread_iap""}",214,554,2.589
BookSelection,activity_sequence,"{""s"":""seq_UI_BookDetected_BRV""}",312,1041,3.337
ALZ_Story_Activity,activity_inference,"{""l"":""alz_p1213_one""}",213,470,2.207
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_story_p1415""}",212,402,1.896
ALZ_Story_Activity,activity_inference,"{""l"":""alz_p2021_one""}",211,497,2.355
ALZ_P0001,activity_sequence,"{""s"":""seq_p0001_a1_s01_q02_iap2""}",3,3,
ALZ_Story_Activity,activity_inference,"{""l"":""alz_p1617_one""}",208,400,1.923
GSG_P1011,activity_sequence,"{""s"":""seq_p1011_sb_dewey_prompt1""}",295,1698,5.756
BookSelection,activity_sequence,"{""s"":""seq_Volume_1""}",293,1748,5.966
ALZ_P0001,activity_sequence,"{""s"":""seq_p0001_a1_s01_q02_intro_4""}",8,8,
ALZ_P0001,activity_sequence,"{""s"":""seq_p0001_a1_s01_q02_intro_5""}",3,4,
ALZ_P3031,activity_input,"{""i"":""input_large""}",207,996,4.812
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_ui_pagescanned_nudge4b""}",207,973,4.700
ALZ_P3031,activity_iap,"{""ts"":""timers_pointableModeIntro_IAPs"",""ti"":0}",207,503,2.430
ALZ_P0001,activity_sequence,"{""s"":""seq_p0001_a1_s01_q02_wa_left_page""}",1,1,
ALZ_P0001,activity_sequence,"{""s"":""seq_p0001_a1_s01_q02_wa_word""}",9,27,
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_story_p1819""}",207,455,2.198
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_story_p2627""}",207,414,2.000
BookSelection,activity_sequence,"{""s"":""seq_Volume_Exit""}",283,2304,8.141
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_story_p1213""}",207,387,1.870
ALZ_P3031,activity_sequence,"{""s"":""seq_ui_led_pointable_beamidle""}",202,1548,7.663
ALZ_P3031,activity_question,"{""q"":""menu"",""vg"":""""}",201,568,2.826
ALZ_P0001,activity_sequence,"{""s"":""seq_p0001_a1_s02_q02_iap1""}",1,1,
ALZ_P3031,activity_question_set,"{""qs"":""set_pointables""}",201,456,2.269
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_story_p2021""}",201,400,1.990
ALZ_P0001,activity_sequence,"{""s"":""seq_p0001_a1_s02_q02_response""}",6,6,
ALZ_P0001,activity_sequence,"{""s"":""seq_p0001_a1_s02_q02_sca""}",5,5,
ALZ_P0001,activity_sequence,"{""s"":""seq_p0001_a1_s02_q02_wa_hint1""}",5,14,
ALZ_P0001,activity_sequence,"{""s"":""seq_p0001_a1_s02_q02_wa_left_page""}",2,2,
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_story_p1617""}",200,354,1.770
ALZ_P0001,activity_sequence,"{""s"":""seq_p0001_iap2""}",7,9,
ALZ_P3031,activity_inference_start,"{""m"":""alz_p3031""}",198,564,2.848
ALZ_P0001,activity_sequence,"{""s"":""seq_p0001_intro2""}",3,6,
ALZ_P0001,activity_sequence,"{""s"":""seq_p0001_txt_dedication""}",7,9,
BookSelection,activity_sequence,"{""s"":""seq_Volume_2""}",277,1385,5.000
BookSelection,activity_sequence,"{""s"":""seq_Volume_3""}",275,1681,6.113
ALZ_P3031,activity_input,"{""i"":""input_pointables""}",198,564,2.848
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_story_p2425""}",197,444,2.254
BookSelection,activity_sequence,"{""s"":""seq_UI_BookDetection_IAP4""}",273,1382,5.062
ALZ_P3031,activity_iap,"{""ts"":""timers_pointableModeIntro_IAPs"",""ti"":1}",191,394,2.063
ALZ_P3031,activity_sequence,"{""s"":""seq_ui_sfx_hovergame""}",188,556,2.957
ALZ_P3031,activity_inference,"{""l"":""alz_p3031_obj_buzz""}",188,556,2.957
ALZ_P3031,activity_sequence,"{""s"":""seq_ui_hovergame_prompt""}",188,536,2.851
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_sb_menu_diffbook_response""}",187,501,2.679
BookSelection,activity_sequence,"{""s"":""seq_UI_BookDetected_VFB""}",252,898,3.563
ALZ_P3031,activity_sequence,"{""s"":""seq_p3031_intro1""}",183,261,1.426
GSG_P1011,activity_sequence,"{""s"":""seq_p1011_sb_dewey_prompt2""}",249,1245,5.000
ALZ_P3031,activity_back_button,,182,394,2.165
BookSelection,activity_sequence,"{""s"":""seq_UI_BigButtonSfx""}",244,647,2.652
BookSelection,activity_sequence,"{""s"":""seq_UI_BookDetected_RRR""}",244,868,3.557
GSG_P1011,activity_sequence,"{""s"":""seq_BlankSequence""}",242,632,2.612
BookSelection,activity_sequence,"{""s"":""seq_UI_BookDetection_IAP5""}",237,1005,4.241
ALZ_P3031,activity_question,"{""q"":""switcher"",""vg"":""""}",182,372,2.044
ALZ_P3031,activity_question_set,"{""qs"":""set_sb""}",182,372,2.044
ALZ_P0001,activity_question,"{""q"":""q01"",""vg"":""""}",177,1025,5.791
ALZ_P0001,activity_answer,"{""a"":""input_auto""}",176,1013,5.756
ALZ_P0001,activity_sequence,"{""s"":""seq_ui_hint3""}",3,4,
GSG_P1011,activity_sequence,"{""s"":""seq_P1011_PnT_BigButtonOffTask""}",222,4953,22.311
GSG_P1011,activity_sequence,"{""s"":""seq_P1011_PnT_Title_IAP1""}",221,1694,7.665
BookSelection,activity_sequence,"{""s"":""seq_UI_BookDetected_WRD""}",220,761,3.459
ALZ_P0001,activity_input,"{""i"":""input_auto""}",176,1013,5.756
GSG_P1011,activity_sequence,"{""s"":""seq_P1011_PnT_Spinosaurus_Body""}",219,1436,6.557
ALZ_P0001,activity_sequence,"{""s"":""seq_ui_letsplay""}",176,313,1.778
ALZ_P0001,activity_sequence,"{""s"":""seq_ui_lifeline1""}",10,17,
ALZ_P0001,activity_sequence,"{""s"":""seq_BlankSequence""}",175,2246,12.834
ALZ_P0001,activity_sequence,"{""s"":""seq_ui_lifeline3""}",9,15,
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_bg_music_p0001""}",175,338,1.931
ALZ_P0001,activity_sequence,"{""s"":""seq_ui_sfx_smallbutton""}",175,314,1.794
ALZ_P0001,activity_sequence,"{""s"":""seq_SuperKillSwitch""}",175,312,1.783
BookSelection,activity_sequence,"{""s"":""seq_UI_BookDetection_IAP6""}",210,788,3.752
GSG_P1011,activity_sequence,"{""s"":""seq_P1011_A1_Intro1""}",209,469,2.244
ALZ_P0001,activity_question_set,"{""qs"":""set_intro""}",175,310,1.771
ALZ_P0001,activity_question_set,"{""qs"":""set_pointableExit""}",175,305,1.743
ALZ_Story_Activity,activity_inference,"{""l"":""alz_p2223_one""}",175,294,1.680
ALZ_P0001,activity_sequence,"{""s"":""seq_ui_sfx_pageexit""}",174,302,1.736
ALZ_P0001,activity_back_button,,173,310,1.792
ALZ_Story_Activity,activity_inference,"{""l"":""alz_p2829_one""}",173,309,1.786
ALZ_P0001,activity_question,"{""q"":""switcher"",""vg"":""""}",173,301,1.740
ALZ_P0001,wand_activity_end,"{""act"":""ALZ_P0001"", ""ver"": 48, ""dev"": false}",175,305,
ALZ_P0001,wand_activity_start,"{""act"":""ALZ_P0001"", ""ver"": 48, ""dev"": false}",174,309,
ALZ_P0001,activity_question_set,"{""qs"":""set_sb""}",173,301,1.740
ALZ_P0001,activity_input,"{""i"":""input_large""}",172,294,1.709
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_story_p2223""}",172,275,1.599
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_ui_sfx_sb_menuoption""}",171,1363,7.971
ALZ_Story_Activity,activity_question,"{""q"":""MenuItem2"",""vg"":""""}",171,839,4.906
ALZ_P0203,activity_iap,"{""ts"":""timers_activityIAPs"",""ti"":2}",5,6,
ALZ_Story_Activity,activity_sequence,"{""s"":""seq_sb_menu_diffpage_prompt""}",171,707,4.135
ALZ_P0001,activity_iap,"{""ts"":""timers_pointableModeIntro_IAPs"",""ti"":0}",170,288,1.694
